"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"US1ILDP0164","WEST CHICAGO 3.5 SE, IL US","41.850232","-88.179728","227.7","2021-09-27",,,,
"US1ILCK0317","HOFFMAN ESTATES 0.6 ESE, IL US","42.060028","-88.129284","251.2","2021-09-26",,,,
"US1ILCK0317","HOFFMAN ESTATES 0.6 ESE, IL US","42.060028","-88.129284","251.2","2021-09-27",,,,
"US1ILDP0042","CAROL STREAM 0.3 SSE, IL US","41.91301","-88.129388","231.0","2021-09-26",,,,
"US1ILDP0042","CAROL STREAM 0.3 SSE, IL US","41.91301","-88.129388","231.0","2021-09-27",,,,
"US1ILDP0163","LOMBARD 1.2 E, IL US","41.872971","-87.99117","220.4","2021-09-26",,,,
"US1ILDP0163","LOMBARD 1.2 E, IL US","41.872971","-87.99117","220.4","2021-09-27",,,,
"US1ILDP0040","LOMBARD 1.0 NNW, IL US","41.888412","-88.022942","216.1","2021-09-26",,,,
"US1ILDP0040","LOMBARD 1.0 NNW, IL US","41.888412","-88.022942","216.1","2021-09-27",,,,
"US1ILDP0161","WHEATON 1.2 NNW, IL US","41.87278","-88.11416","225.9","2021-09-26",,,,
"US1ILDP0161","WHEATON 1.2 NNW, IL US","41.87278","-88.11416","225.9","2021-09-27",,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2021-09-26",,"84","56","69"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2021-09-27",,"88","65","65"
"US1INLK0026","CROWN POINT 1.1 N, IN US","41.439267","-87.3542","217.0","2021-09-26",,,,
"US1INLK0026","CROWN POINT 1.1 N, IN US","41.439267","-87.3542","217.0","2021-09-27",,,,
"US1ILCK0320","PARK FOREST 0.7 WNW, IL US","41.48579","-87.69962","219.5","2021-09-26",,,,
"US1ILCK0320","PARK FOREST 0.7 WNW, IL US","41.48579","-87.69962","219.5","2021-09-27",,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-09-26",,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-09-27",,,,
"US1ILDP0038","ELMHURST 0.4 SW, IL US","41.893458","-87.948464","216.1","2021-09-26",,,,
"US1ILDP0038","ELMHURST 0.4 SW, IL US","41.893458","-87.948464","216.1","2021-09-27",,,,
"US1ILWL0154","NAPERVILLE 2.9 SSE, IL US","41.72289","-88.13635","206.0","2021-09-26",,,,
"US1ILWL0154","NAPERVILLE 2.9 SSE, IL US","41.72289","-88.13635","206.0","2021-09-27",,,,
"US1ILCK0322","ARLINGTON HEIGHTS 0.8 NNW, IL US","42.104841","-87.990035","218.5","2021-09-26",,,,
"US1ILCK0322","ARLINGTON HEIGHTS 0.8 NNW, IL US","42.104841","-87.990035","218.5","2021-09-27",,,,
"US1ILDP0157","WEST CHICAGO 3.5 NNE, IL US","41.937182","-88.198848","235.6","2021-09-26",,,,
"US1ILDP0157","WEST CHICAGO 3.5 NNE, IL US","41.937182","-88.198848","235.6","2021-09-27",,,,
"US1ILDP0156","NAPERVILLE 0.5 NW, IL US","41.76851","-88.16026","206.0","2021-09-26",,,,
"US1ILDP0156","NAPERVILLE 0.5 NW, IL US","41.76851","-88.16026","206.0","2021-09-27",,,,
"US1ILWL0159","NEW LENOX 2.1 S, IL US","41.489225","-87.991435","208.8","2021-09-27",,,,
"US1ILCK0042","MOUNT PROSPECT 3.0 NE, IL US","42.096184","-87.896703","199.0","2021-09-26",,,,
"US1ILCK0042","MOUNT PROSPECT 3.0 NE, IL US","42.096184","-87.896703","199.0","2021-09-27",,,,
"US1ILCK0163","ARLINGTON HEIGHTS 1.2 SW, IL US","42.081944","-87.997116","215.8","2021-09-26",,,,
"US1ILCK0163","ARLINGTON HEIGHTS 1.2 SW, IL US","42.081944","-87.997116","215.8","2021-09-27",,,,
"US1ILDP0155","MEDINAH 1.0 SSW, IL US","41.9636","-88.0659","222.8","2021-09-26",,,,
"US1ILDP0155","MEDINAH 1.0 SSW, IL US","41.9636","-88.0659","222.8","2021-09-27",,,,
"US1ILCK0285","HARWOOD HEIGHTS 0.4 NNE, IL US","41.971546","-87.803251","197.5","2021-09-26",,,,
"US1ILCK0285","HARWOOD HEIGHTS 0.4 NNE, IL US","41.971546","-87.803251","197.5","2021-09-27",,,,
"US1ILCK0229","FLOSSMOOR 1.2 ESE, IL US","41.5318909","-87.664093","202.1","2021-09-26",,,,
"US1ILCK0229","FLOSSMOOR 1.2 ESE, IL US","41.5318909","-87.664093","202.1","2021-09-27",,,,
"US1ILCK0345","FRANKLIN PARK 0.5 SSE, IL US","41.9294778","-87.8739955","194.5","2021-09-26",,,,
"US1ILCK0345","FRANKLIN PARK 0.5 SSE, IL US","41.9294778","-87.8739955","194.5","2021-09-27",,,,
