,state,county,pop,black,white,asian,hispanic,income
0,1,115,87306,0.09451813162898312,0.8730671431516734,0.008441573316839621,0.02392733603646943,779
1,1,43,82313,0.012124451787688457,0.9523647540485707,0.004057682261611167,0.04304301872122265,671
2,1,69,104352,0.26907007053051213,0.6936810027598896,0.008365915363385464,0.032936599202698556,736
3,1,125,206213,0.3164688938136781,0.6443677168752697,0.01601256952762435,0.036064651598104874,891
4,1,31,51288,0.17214553111839026,0.7589104663858992,0.012985493682732803,0.0691974730931212,739
5,1,21,43930,0.09442294559526519,0.8331208741179149,0.004325062599590257,0.07776007284315957,613
6,1,37,10855,0.34205435283279595,0.6571165361584523,0.0,0.004606172270842929,549
7,1,55,102939,0.15749132981668756,0.8034855594089704,0.0071790089276173264,0.03769222549276756,640
8,1,75,13933,0.11182085695830044,0.874685997272662,0.0,0.015646307327926507,399
9,1,13,20025,0.45218476903870164,0.5200499375780274,0.01153558052434457,0.0033458177278401996,566
10,1,127,64493,0.06213077388243685,0.907803947715256,0.004946273238956166,0.023956088257640364,541
11,1,63,8426,0.7967006883455969,0.17149299786375505,0.0,0.016971279373368148,508
12,1,11,10352,0.7624613601236476,0.21986089644513138,0.005409582689335394,0.004926584234930448,629
13,1,33,54495,0.15808789797229103,0.7943481053307643,0.004899532067162125,0.024754564638957702,662
14,1,45,49255,0.1979291442493148,0.728636686630799,0.012851487158664096,0.062328697594152875,688
15,1,65,14887,0.5876267884731645,0.3961845905823873,0.0026197353395580034,0.008732451131860013,521
16,1,49,71200,0.014101123595505617,0.8563483146067415,0.001966292134831461,0.14353932584269663,564
17,1,53,37328,0.3193313330475782,0.6187044577796829,0.003616588084012002,0.022449635662237462,481
18,1,111,22574,0.20142641977496234,0.7727031097723044,0.0030123150527155136,0.02945866926552671,524
19,1,97,414659,0.35555480527373096,0.5876105426386501,0.019575120761879037,0.028874328062335558,840
20,1,105,9486,0.6944971537001897,0.2991777356103732,0.002213788741302973,0.00938224752266498,466
21,1,29,14938,0.026308742803588164,0.9417592716561789,0.00020083009773731424,0.024233498460302583,551
22,1,35,12514,0.47714559693143677,0.5089499760268499,0.001438389004315167,0.008390602525171808,397
23,1,5,25782,0.47575828097122025,0.47381894344891784,0.0037235280428205724,0.04289814599332868,558
24,1,7,22527,0.22275491632263505,0.7665468104940738,0.001642473476272917,0.02428197274381853,589
25,1,15,115098,0.20570296616796122,0.7433491459451945,0.009252984413282594,0.036516707501433564,659
26,1,25,24387,0.45815393447328495,0.5304055439373436,0.005043670808217493,0.0019682617788165826,539
