lon,lat,6to9,9to12,12to15,15to18
-87.54536585,41.64459459,0.215121179,0.220544175,0.291541712,0.166737032
-87.53317073,41.64459459,0.213912003,0.218200916,0.288006558,0.162293687
-87.61853659,41.6536036,0.233489991,0.223705959,0.301109746,0.193474301
-87.60634146,41.6536036,0.231005427,0.222671512,0.307626511,0.165639389
-87.59414634,41.6536036,0.228238905,0.243030159,0.319572323,0.119760616
-87.58195122,41.6536036,0.22076565,0.244861658,0.314857792,0.156194874
-87.5697561,41.6536036,0.215319194,0.231439332,0.297855751,0.123937203
-87.55756098,41.6536036,0.21240754,0.222059448,0.284983169,0.138871358
-87.54536585,41.6536036,0.216476024,0.220607506,0.287641996,0.158411918
-87.53317073,41.6536036,0.212296574,0.207726867,0.283123377,0.155961485
-87.64292683,41.66261261,0.226527278,0.227409448,0.333494974,0.189049997
-87.63073171,41.66261261,0.22955379,0.218362188,0.326920321,0.182077754
-87.61853659,41.66261261,0.233725756,0.221320664,0.321740467,0.184528696
-87.60634146,41.66261261,0.225974726,0.235256761,0.31231215,0.171366948
-87.59414634,41.66261261,0.228293388,0.242410736,0.312516584,0.165602562
-87.58195122,41.66261261,0.221697478,0.246458418,0.314309263,0.160127861
-87.5697561,41.66261261,0.216805523,0.217226959,0.291885425,0.149983378
-87.55756098,41.66261261,0.217362063,0.221276204,0.286653009,0.135012315
-87.54536585,41.66261261,0.219499943,0.223187789,0.295532762,0.155623763
-87.53317073,41.66261261,0.217183931,0.216453782,0.29080897,0.159683504
-87.65512195,41.67162162,0.224649461,0.224575632,0.319470067,0.160366864
-87.64292683,41.67162162,0.223650842,0.224177114,0.326022295,0.173395321
-87.63073171,41.67162162,0.22260361,0.211149467,0.323713385,0.167153751
-87.61853659,41.67162162,0.223111449,0.215469493,0.31693476,0.181157341
-87.60634146,41.67162162,0.219743724,0.229518652,0.317718963,0.160473025
-87.59414634,41.67162162,0.223719392,0.234376767,0.316094425,0.149365501
-87.58195122,41.67162162,0.22302159,0.235476814,0.310005052,0.161630433
-87.5697561,41.67162162,0.221712438,0.220730836,0.298713467,0.162644022
-87.55756098,41.67162162,0.22070195,0.223517591,0.286477581,0.15582747
-87.54536585,41.67162162,0.217929567,0.221948284,0.293053922,0.163023929
-87.53317073,41.67162162,0.218060962,0.221285476,0.289614214,0.170765769
-87.6795122,41.68063063,0.229790886,0.220534773,0.355903102,0.163276846
-87.66731707,41.68063063,0.222295439,0.216228188,0.318491098,0.167481081
-87.65512195,41.68063063,0.232462855,0.210402601,0.312449182,0.175959451
-87.64292683,41.68063063,0.228216204,0.215508234,0.313889558,0.173042777
-87.63073171,41.68063063,0.218879378,0.21197238,0.313073617,0.167325087
-87.61853659,41.68063063,0.220443527,0.216522605,0.326088197,0.166456165
-87.60634146,41.68063063,0.221251234,0.220307977,0.317673766,0.15364928
-87.59414634,41.68063063,0.220293148,0.224554572,0.32012828,0.14180247
-87.58195122,41.68063063,0.218476896,0.232600437,0.316640124,0.158366284
-87.5697561,41.68063063,0.225058397,0.219798466,0.289678927,0.161151615
-87.55756098,41.68063063,0.219673674,0.216947811,0.291918195,0.158713122
-87.54536585,41.68063063,0.213113696,0.217431366,0.303028594,0.173479478
-87.53317073,41.68063063,0.21714618,0.226860638,0.307038384,0.177964586
-87.72829268,41.68963964,0.231513711,0.200259688,0.323769072,0.197320848
-87.71609756,41.68963964,0.234420298,0.210132874,0.32310555,0.185779735
-87.70390244,41.68963964,0.23534976,0.208619209,0.311060479,0.192289434
-87.69170732,41.68963964,0.230789562,0.216062113,0.324439561,0.191930958
-87.6795122,41.68963964,0.22709856,0.219400907,0.335923858,0.171982026
-87.66731707,41.68963964,0.229871044,0.204649466,0.318950822,0.160555858
-87.65512195,41.68963964,0.243591229,0.214016066,0.302864605,0.166417965
-87.64292683,41.68963964,0.229221766,0.211674082,0.303887466,0.170905525
-87.63073171,41.68963964,0.218199684,0.217696711,0.310651032,0.170287349
-87.61853659,41.68963964,0.218726369,0.221223263,0.311571818,0.15355346
-87.60634146,41.68963964,0.223077778,0.225118921,0.31636055,0.137887117
-87.59414634,41.68963964,0.219173231,0.227326033,0.328396344,0.14944725
-87.58195122,41.68963964,0.216765127,0.230236011,0.322956952,0.162971558
-87.5697561,41.68963964,0.221378919,0.227087881,0.312199479,0.170608098
-87.55756098,41.68963964,0.217541208,0.215794621,0.31166013,0.163813348
-87.54536585,41.68963964,0.213744207,0.20540305,0.315119217,0.170225111
-87.53317073,41.68963964,0.218639971,0.211851923,0.318118053,0.165378862
-87.71609756,41.69864865,0.23358363,0.205693892,0.333541252,0.186078496
-87.70390244,41.69864865,0.231605097,0.21033008,0.324306021,0.175075976
-87.6795122,41.69864865,0.229709436,0.224302919,0.314502695,0.169885453
-87.66731707,41.69864865,0.234224392,0.227063311,0.311789389,0.155768691
-87.65512195,41.69864865,0.240043465,0.224462417,0.29830141,0.168315319
-87.64292683,41.69864865,0.225625648,0.223583974,0.269542962,0.174083907
-87.63073171,41.69864865,0.222482,0.216300838,0.312400113,0.168992126
-87.61853659,41.69864865,0.223163533,0.21649075,0.312331905,0.164330173
-87.60634146,41.69864865,0.230064285,0.213459861,0.308354772,0.16379383
-87.59414634,41.69864865,0.2254518,0.225743555,0.325184827,0.147037977
-87.58195122,41.69864865,0.219878763,0.217526101,0.331336732,0.176003389
-87.5697561,41.69864865,0.221558975,0.222161647,0.314999503,0.192259012
-87.55756098,41.69864865,0.217770672,0.223966818,0.319182228,0.173651024
-87.54536585,41.69864865,0.21375989,0.208782234,0.310599377,0.173570703
-87.53317073,41.69864865,0.218019251,0.205922199,0.312060917,0.167371791
-87.71609756,41.70765766,0.233214092,0.218346752,0.327579981,0.196348808
-87.6795122,41.70765766,0.225977703,0.231691884,0.32372821,0.163716088
-87.66731707,41.70765766,0.234699711,0.230496771,0.317523646,0.16614699
-87.65512195,41.70765766,0.227885452,0.2312156,0.300552013,0.173485363
-87.64292683,41.70765766,0.218677873,0.236490663,0.28888747,0.176260097
-87.63073171,41.70765766,0.211198246,0.230548127,0.291523743,0.168461356
-87.61853659,41.70765766,0.225154686,0.221405392,0.304256384,0.184293181
-87.60634146,41.70765766,0.232526946,0.212699426,0.314643357,0.17727416
-87.59414634,41.70765766,0.235398929,0.228279433,0.334189436,0.163059727
-87.58195122,41.70765766,0.234533285,0.226187145,0.322281062,0.177250845
-87.5697561,41.70765766,0.226786918,0.21562016,0.312572266,0.182731311
-87.55756098,41.70765766,0.219892334,0.217809774,0.315330323,0.169195444
-87.54536585,41.70765766,0.214803115,0.211877012,0.312808699,0.156846684
-87.53317073,41.70765766,0.221131218,0.205590449,0.307721764,0.160250904
-87.6795122,41.71666667,0.230405452,0.23602129,0.321504802,0.176114281
-87.66731707,41.71666667,0.232931514,0.244021752,0.325048463,0.185804522
-87.65512195,41.71666667,0.225576936,0.239414791,0.301749599,0.171893934
-87.64292683,41.71666667,0.220069932,0.232902833,0.265018687,0.164988506
-87.63073171,41.71666667,0.216482374,0.24041796,0.286081478,0.170032006
-87.61853659,41.71666667,0.227027485,0.226424023,0.284995898,0.18200998
-87.60634146,41.71666667,0.234511446,0.216838219,0.290686629,0.186174362
-87.59414634,41.71666667,0.241150404,0.229698866,0.319839713,0.181400737
-87.58195122,41.71666667,0.242899097,0.225209601,0.323503703,0.181287987
-87.5697561,41.71666667,0.235183583,0.222720467,0.315467229,0.184801966
-87.55756098,41.71666667,0.225451788,0.221839792,0.321696561,0.171522423
-87.54536585,41.71666667,0.224241358,0.209955046,0.305340844,0.157484888
-87.53317073,41.71666667,0.227088105,0.200138891,0.30200264,0.161040324
-87.6795122,41.72567568,0.237418627,0.238650347,0.329172427,0.196190077
-87.66731707,41.72567568,0.233517189,0.236245576,0.319837944,0.177930491
-87.65512195,41.72567568,0.22968089,0.229932003,0.307464099,0.176371085
-87.64292683,41.72567568,0.227243523,0.236865308,0.29234754,0.167801876
-87.63073171,41.72567568,0.226976863,0.236161502,0.287905012,0.176631216
-87.61853659,41.72567568,0.23354185,0.236480366,0.283942098,0.184415377
-87.60634146,41.72567568,0.236144634,0.229421381,0.287909726,0.193120437
-87.59414634,41.72567568,0.245375406,0.22580999,0.307080356,0.181848589
-87.58195122,41.72567568,0.248605088,0.227899733,0.322489065,0.184502946
-87.5697561,41.72567568,0.245031718,0.223638514,0.313784933,0.18376273
-87.55756098,41.72567568,0.233933867,0.214613503,0.309276931,0.168237007
-87.54536585,41.72567568,0.230249739,0.215615156,0.312616221,0.155642035
-87.53317073,41.72567568,0.230386246,0.214087028,0.292159803,0.160743599
-87.7404878,41.73468468,0.231549614,0.21764883,0.34421329,0.251507233
-87.6795122,41.73468468,0.237799721,0.245346052,0.332005559,0.191911485
-87.66731707,41.73468468,0.2350981,0.237974633,0.321567209,0.191220149
-87.65512195,41.73468468,0.232715533,0.234084742,0.310131252,0.174410983
-87.64292683,41.73468468,0.233264379,0.242809013,0.289074634,0.183208242
-87.63073171,41.73468468,0.234870147,0.250309939,0.297963437,0.174540168
-87.61853659,41.73468468,0.237017717,0.248766248,0.288825705,0.177744247
-87.60634146,41.73468468,0.242149365,0.239132663,0.285741137,0.194442599
-87.59414634,41.73468468,0.254519585,0.225017603,0.295165424,0.192361542
-87.58195122,41.73468468,0.248807649,0.229166865,0.302160479,0.18528857
-87.5697561,41.73468468,0.24795391,0.224041957,0.31381858,0.179718294
-87.55756098,41.73468468,0.24107865,0.209798414,0.303568916,0.17223751
-87.54536585,41.73468468,0.229339357,0.22529636,0.292465533,0.159175915
-87.53317073,41.73468468,0.231864126,0.228944932,0.28137068,0.152976631
-87.7404878,41.74369369,0.225678124,0.2290819,0.333481939,0.340963855
-87.72829268,41.74369369,0.223875577,0.217938689,0.339512477,0.294390597
-87.71609756,41.74369369,0.229386493,0.228598436,0.344515027,0.269620398
-87.70390244,41.74369369,0.232334301,0.241963763,0.342399136,0.228300199
-87.69170732,41.74369369,0.233906435,0.247261902,0.331158123,0.201895979
-87.6795122,41.74369369,0.233704793,0.243396485,0.334370322,0.2021754
-87.66731707,41.74369369,0.236814824,0.244596369,0.330229659,0.211025177
-87.65512195,41.74369369,0.231312355,0.246845355,0.319005653,0.192230277
-87.64292683,41.74369369,0.23847903,0.253177868,0.292413187,0.171597415
-87.63073171,41.74369369,0.242324593,0.253123692,0.302346914,0.183947213
-87.61853659,41.74369369,0.241343605,0.253103299,0.27889994,0.181872218
-87.60634146,41.74369369,0.241117585,0.248872136,0.286372714,0.188995012
-87.59414634,41.74369369,0.243463336,0.236914281,0.299202122,0.184728257
-87.58195122,41.74369369,0.245394958,0.224854258,0.285393968,0.17953993
-87.5697561,41.74369369,0.242517231,0.231356618,0.297638349,0.178703977
-87.55756098,41.74369369,0.240058751,0.235047206,0.296205918,0.173807518
-87.54536585,41.74369369,0.233160741,0.232396553,0.281597184,0.161511043
-87.53317073,41.74369369,0.231041858,0.238715591,0.275956595,0.16168061
-87.7404878,41.7527027,0.2229686,0.23916075,0.334881331,0.681268253
-87.72829268,41.7527027,0.21441075,0.242246285,0.330892932,0.357277431
-87.71609756,41.7527027,0.213650692,0.249121972,0.347921307,0.27571234
-87.70390244,41.7527027,0.218495261,0.249951224,0.335780596,0.258076843
-87.69170732,41.7527027,0.228976318,0.253810349,0.3389407,0.234501933
-87.6795122,41.7527027,0.224308998,0.248561081,0.365316444,0.222993603
-87.66731707,41.7527027,0.219523739,0.246690166,0.332824609,0.218054942
-87.65512195,41.7527027,0.224518094,0.252528669,0.323982987,0.207069712
-87.64292683,41.7527027,0.229002356,0.255803011,0.309726281,0.194511176
-87.63073171,41.7527027,0.234145393,0.256035294,0.285759323,0.188776238
-87.61853659,41.7527027,0.238680846,0.253414642,0.293311138,0.19786716
-87.60634146,41.7527027,0.239286333,0.25433135,0.280735726,0.20164924
-87.59414634,41.7527027,0.239566779,0.240265829,0.283360744,0.183070637
-87.58195122,41.7527027,0.24096907,0.230194531,0.277746538,0.179822021
-87.5697561,41.7527027,0.243829559,0.235732495,0.292839181,0.186759547
-87.55756098,41.7527027,0.239510944,0.244228515,0.299833746,0.187757334
-87.54536585,41.7527027,0.237119652,0.235768718,0.288439487,0.126530924
-87.7404878,41.76171171,0.220026592,0.243028146,0.337606933,0.459975236
-87.72829268,41.76171171,0.204785308,0.246673422,0.342051867,0.344805805
-87.71609756,41.76171171,0.20927603,0.257521556,0.345742758,0.269955576
-87.70390244,41.76171171,0.222302649,0.268316252,0.345241056,0.252704573
-87.69170732,41.76171171,0.221478485,0.260160092,0.349886765,0.238638837
-87.6795122,41.76171171,0.220962786,0.247185675,0.353803299,0.231073998
-87.66731707,41.76171171,0.218171767,0.24743108,0.340324151,0.247024749
-87.65512195,41.76171171,0.216211062,0.254036631,0.322636403,0.235890099
-87.64292683,41.76171171,0.221191993,0.264220769,0.311104953,0.225111431
-87.63073171,41.76171171,0.22878411,0.265343962,0.29947165,0.203405901
-87.61853659,41.76171171,0.235750564,0.252508594,0.293220448,0.186089417
-87.60634146,41.76171171,0.237799531,0.243621188,0.300859127,0.196902982
-87.59414634,41.76171171,0.236288582,0.237224106,0.285859365,0.184860088
-87.58195122,41.76171171,0.235918204,0.22941801,0.294218,0.190167652
-87.5697561,41.76171171,0.23213521,0.221631874,0.305717941,0.196508906
-87.55756098,41.76171171,0.231364955,0.22945461,0.299726281,0.200641494
-87.7404878,41.77072072,0.210520278,0.247088184,0.335277986,0.309864447
-87.72829268,41.77072072,0.209391228,0.254523833,0.323480114,0.285517015
-87.71609756,41.77072072,0.206403286,0.260919491,0.339067928,0.264946682
-87.70390244,41.77072072,0.20853033,0.26931591,0.334230338,0.239996593
-87.69170732,41.77072072,0.21490888,0.262145371,0.332655764,0.231682945
-87.6795122,41.77072072,0.222135534,0.259128571,0.328401379,0.229341842
-87.66731707,41.77072072,0.214649554,0.257983264,0.322610913,0.22332643
-87.65512195,41.77072072,0.209407142,0.258662772,0.318647848,0.223684708
-87.64292683,41.77072072,0.213964723,0.262378042,0.324751845,0.193918847
-87.63073171,41.77072072,0.226124231,0.260001988,0.298419529,0.193720603
-87.61853659,41.77072072,0.235589805,0.248096437,0.295772686,0.199474296
-87.60634146,41.77072072,0.23450354,0.251689733,0.289000763,0.206650588
-87.59414634,41.77072072,0.234120153,0.250511168,0.286946218,0.200592802
